Organisation Name,Email,Website URL,State,Type
Southern Cross University - General Enquiries,enquiry@scu.edu.au,https://www.scu.edu.au/about/contacts/,NSW,University - General
Southern Cross University - Faculty of Science and Engineering,fseinfo@scu.edu.au,https://www.scu.edu.au/science-and-engineering/,NSW,University - Science/Environment
CQUniversity - General Enquiries,tasac@cqu.edu.au,https://www.cqu.edu.au/about-us/contacts,QLD,University - Regional
Marcus Oldham College - Course Enquiries,courses@marcusoldham.vic.edu.au,https://marcusoldham.vic.edu.au/contact,VIC,University - Agriculture
Marcus Oldham College - Scholarships,scholarships@marcusoldham.vic.edu.au,https://marcusoldham.vic.edu.au/contact,VIC,University - Agriculture
Longerenong College - General Enquiries,info@longy.com.au,https://www.longy.com.au/about/contact-us,VIC,University - Agriculture
CSIRO - Media,media@csiro.au,https://www.csiro.au/en/news/media-contacts,National,Research - Media
CSIRO - General Enquiries,enquiries@csiro.au,https://www.csiro.au/en/contact,National,Research - General
CSIRO Agriculture and Food,media@csiro.au,https://www.csiro.au/en/work-with-us/industries/agriculture,National,Research - Agriculture
CSIRO Energy,media@csiro.au,https://www.csiro.au/en/work-with-us/industries/energy,National,Research - Energy
CSIRO Land and Water,enquiries@csiro.au,https://www.csiro.au/en/about/people/business-units/Land-and-Water,National,Research - Land/Water
ABARES (Dept of Agriculture Fisheries and Forestry) - Media,media@aff.gov.au,https://www.agriculture.gov.au/abares,ACT,Research - Government
Bureau of Meteorology - Social Media/Blog,bomblog@bom.gov.au,https://media.bom.gov.au/media-contacts/,National,Research - Government
Cooperative Research Australia,admin@cooperativeresearch.org.au,https://cooperativeresearch.org.au/about-the-crc-association/contact-us/,ACT,Research - Peak Body
Grattan Institute - Media,media@grattan.edu.au,https://grattan.edu.au/,VIC,Think Tank
The Australia Institute,mail@australiainstitute.org.au,https://australiainstitute.org.au/contact,ACT,Think Tank
Centre for Policy Development,contact@cpd.org.au,https://cpd.org.au/contact-us/,NSW,Think Tank
Institute of Public Affairs,ipa@ipa.org.au,https://ipa.org.au/news/contact-us,VIC,Think Tank
Regional Australia Institute,admin@regionalaustralia.org.au,https://regionalaustralia.org.au/Web/Web/Contact/Contact.aspx,ACT,Think Tank - Regional
Per Capita - General,info@percapita.org.au,https://percapita.org.au/contact/,VIC,Think Tank
Per Capita - Media,media@percapita.org.au,https://percapita.org.au/contact/,VIC,Think Tank - Media
McKell Institute,mckell@mckellinstitute.org.au,https://mckellinstitute.org.au/contact/,NSW,Think Tank
CEDA - Committee for Economic Development of Australia,info@ceda.com.au,https://www.ceda.com.au/,VIC,Think Tank
Infrastructure Partnerships Australia - General,contact@infrastructure.org.au,https://infrastructure.org.au/contact-us/,NSW,Think Tank - Infrastructure
Infrastructure Partnerships Australia - External Affairs/Media,externalaffairs@infrastructure.org.au,https://infrastructure.org.au/contact-us/,NSW,Think Tank - Media
Infrastructure Partnerships Australia - Policy,policy@infrastructure.org.au,https://infrastructure.org.au/contact-us/,NSW,Think Tank - Policy
Australian Farm Institute,info@farminstitute.org.au,https://www.farminstitute.org.au/contact/,NSW,Think Tank - Agriculture
Food Agility CRC,hello@foodagility.com,https://www.foodagility.com/contact,NSW,Research - Agriculture/CRC
Environmental Defenders Office,edoinfo@edo.org.au,https://www.edo.org.au/contact-us/,NSW,Legal/Advocacy
Environmental Justice Australia - General,admin@envirojustice.org.au,https://envirojustice.org.au/about/contact-us/,VIC,Legal/Advocacy
Environmental Justice Australia - Media,media@envirojustice.org.au,https://envirojustice.org.au/about/contact-us/,VIC,Legal/Advocacy - Media
Grata Fund,contact@gratafund.org.au,https://www.gratafund.org.au/contact_us,NSW,Legal/Advocacy
Human Rights Law Centre,admin@hrlc.org.au,https://www.hrlc.org.au/contact-us/,VIC,Legal/Advocacy
Victorian Farmers Federation,vff@vff.org.au,https://www.vff.org.au/contact/,VIC,Legal/Advocacy - Farming
Federation University - International,isa@federation.edu.au,https://www.federation.edu.au/contact/,VIC,University - Regional
Federation University - Registrar,registrar@federation.edu.au,https://www.federation.edu.au/contact/,VIC,University - Regional
Deakin University - Prospective Students,study@deakin.edu.au,https://www.deakin.edu.au/contact,VIC,University - General
Southern Cross University - Future Students,futurestudent@scu.edu.au,https://www.scu.edu.au/about/contacts/,NSW,University - General
Southern Cross University - Graduate School,gradschool@scu.edu.au,https://www.scu.edu.au/about/contacts/,NSW,University - Research
Murdoch University - Future Students,study@murdoch.edu.au,https://www.murdoch.edu.au/contact-us,WA,University - General
University of New England - Social Media,socialmedia@une.edu.au,https://www.une.edu.au/contact-us,NSW,University - Communications
University of New England - Marketing,marketing@une.edu.au,https://www.une.edu.au/contact-us,NSW,University - Communications
